<X> <Y> <dY>
5.957911361584695e-01 8.306850000000000e+07 4.557096114852089e+03
1.146457256080338e+00 9.193235000000000e+07 3.389917956234339e+03
1.642770725313067e+00 7.570143333333333e+07 2.511663348814442e+03
2.111356541481975e+00 6.487382500000000e+07 2.013607226471935e+03
2.531453467957025e+00 6.655860000000000e+07 2.355111462330392e+03
2.967045462551614e+00 5.507673333333334e+07 1.514880816727471e+03
3.481255047941019e+00 4.696173333333334e+07 1.398834832597791e+03
3.917054881882524e+00 3.985380000000000e+07 1.288632996628598e+03
4.373304495169313e+00 3.119031428571429e+07 1.055433463520258e+03
4.824116326003108e+00 2.387358750000000e+07 8.637416334616504e+02
5.290711944844877e+00 1.874258100000000e+07 6.845177316914442e+02
5.758027193335509e+00 1.296921444444444e+07 6.002132594254507e+02
6.184647372743666e+00 8.979686000000000e+06 4.738060257109443e+02
6.642692920734209e+00 5.608607272727272e+06 3.570270957608652e+02
7.116421612582529e+00 3.200297000000000e+06 2.480809808851196e+02
7.577172929947642e+00 1.660123923076923e+06 1.786769712614684e+02
8.041017681686741e+00 6.179166428571428e+05 1.050439230289222e+02
8.517152697029138e+00 1.431295066666667e+05 4.884149647357027e+01
8.973457425313052e+00 6.473192764285714e+03 1.075140585847607e+01
9.404456653430374e+00 6.949030066666666e+04 3.403192145292090e+01
9.867823865522986e+00 2.291878500000000e+05 5.641954079335753e+01
1.035591503854761e+01 4.118610526315789e+05 7.361538138684946e+01
1.080774307161245e+01 5.666370000000000e+05 9.409411843999602e+01
1.123511072792162e+01 6.177299473684210e+05 9.015556346265436e+01
1.173197917564804e+01 6.529581304347826e+05 8.424589594150427e+01
1.220811860568566e+01 5.873731052631579e+05 8.791241943152690e+01
1.264090803216183e+01 4.950203000000000e+05 7.866227653710513e+01
1.308589124576037e+01 3.683004090909091e+05 6.469336845061945e+01
1.354142381937414e+01 2.245242692307692e+05 6.570977406964677e+01
1.401383662626797e+01 1.168767500000000e+05 6.043507621820295e+01
1.441474126575170e+01 5.733165000000001e+04 5.986007120777589e+01
1.484198548286163e+01 1.762109000000000e+04 4.693225170391891e+01
