<X> <Y> <dY>
7.088794978869822e-04 8.147955000000000e+04 1.427231148062569e+02
2.380065459117721e-03 2.790644166666667e+04 4.822381989800845e+01
3.791494771157272e-03 6.380746666666667e+03 2.305924736171779e+01
5.128924297185065e-03 9.999179000000000e+03 2.235976185025234e+01
6.528965312380686e-03 1.034085166666667e+04 2.075737987908022e+01
7.962470479974193e-03 7.042806111111111e+03 1.398690469998347e+01
9.417705958423927e-03 4.652563333333334e+03 1.136828352788451e+01
1.082461506033411e-02 2.345074500000000e+03 7.656818040152187e+00
1.220267304892867e-02 1.118721250000000e+03 4.827700561171263e+00
1.358857503129586e-02 7.964646923076924e+02 3.913646470776947e+00
1.496574876361198e-02 5.409015999999998e+02 3.002503399942566e+00
1.640921143536147e-02 4.017518906249999e+02 2.505468676917679e+00
1.780725547013581e-02 3.878855264705884e+02 2.388346482126310e+00
1.920139921258827e-02 3.735621499999999e+02 2.217045657483946e+00
2.063599843469982e-02 3.090257904761905e+02 1.918040264970964e+00
2.204652580793823e-02 1.800486778571429e+02 1.464048032393904e+00
2.341924508070741e-02 9.883926124999994e+01 1.059798765471754e+00
2.482921685211590e-02 4.461833946000001e+01 6.679696060450655e-01
2.625487791749954e-02 2.244920671153847e+01 4.646049470697832e-01
2.765323633659673e-02 1.908634177777778e+01 4.203871868067292e-01
2.906679447910135e-02 1.319350994642857e+01 3.432188746998846e-01
3.044710559276640e-02 7.834827137931036e+00 2.598876935486291e-01
3.182925486156130e-02 8.390050358064517e+00 2.601186199332992e-01
3.323163644045001e-02 9.819867881818187e+00 2.727506892724978e-01
3.466033608770330e-02 5.963577388235295e+00 2.094035189222574e-01
3.608934746446519e-02 4.830944060694446e+00 1.831617390278642e-01
3.751308367591319e-02 4.335578078378379e+00 1.711562048992954e-01
3.893887676116405e-02 3.354330084871795e+00 1.466359980655001e-01
4.034943959554609e-02 3.243750059230770e+00 1.441987157032047e-01
4.175859296542131e-02 2.630437412926829e+00 1.266461705613183e-01
4.318610476546496e-02 2.502379075465116e+00 1.206180565049435e-01
4.460557342724605e-02 2.364308607954547e+00 1.159032857002138e-01
4.600893703995476e-02 2.348258754444442e+00 1.142185710343804e-01
4.742134044406561e-02 3.216313428717390e+00 1.322118159867247e-01
4.882859496138070e-02 4.309042806368230e+00 1.498096501670298e-01
5.023438440905880e-02 5.095939886640817e+00 1.612442039243205e-01
5.165212665439884e-02 5.233785086461541e+00 1.586266947909332e-01
5.308613425804108e-02 4.393592581125001e+00 1.453376800950416e-01
5.449336111931794e-02 3.392092839886793e+00 1.264928374414706e-01
5.589920983717207e-02 2.724474379545455e+00 1.112833071600559e-01
5.731913409929827e-02 2.269005602807019e+00 9.975860343689613e-02
5.872970488382559e-02 2.110070572280702e+00 9.620132791421968e-02
6.013846254684308e-02 2.124691059491526e+00 9.488376161485394e-02
6.156018744035235e-02 1.894970146803279e+00 8.812644945449725e-02
6.297677389360121e-02 1.590658130322579e+00 8.008710304338251e-02
6.438194848932711e-02 1.617651323039683e+00 8.012023016631632e-02
6.580472192817605e-02 1.890607447400001e+00 8.527348418696529e-02
6.722252356478216e-02 1.860540489009849e+00 8.394940054765153e-02
6.863950515379884e-02 1.669330887000734e+00 7.834057638344853e-02
7.005342823665953e-02 1.697584917776087e+00 7.842620730305873e-02
7.147125618465419e-02 1.768182634872214e+00 7.946658405698888e-02
7.287892253618954e-02 1.614479629417536e+00 7.539752931977636e-02
7.428512170004389e-02 1.147329206925068e+00 6.268340779470340e-02
7.570200483918731e-02 6.392646387823333e-01 4.616147884626796e-02
7.711258235379675e-02 3.188729012189333e-01 3.260229548252359e-02
7.852106375822403e-02 2.410291778196753e-01 2.797431439103193e-02
7.993956974798277e-02 2.936563818391772e-01 3.048429673770305e-02
8.136317684172863e-02 4.721805667852842e-01 3.817522008253053e-02
8.277793106378471e-02 6.304098807177875e-01 4.411019732882900e-02
8.418883906228454e-02 6.804658884074873e-01 4.554767966860176e-02
8.560445018724934e-02 7.364250661576585e-01 4.653983322847526e-02
8.702789945666084e-02 6.076903151791218e-01 4.203024641722667e-02
8.844066443786351e-02 6.070183869691669e-01 4.176488608486217e-02
8.985665577532083e-02 6.768091270946708e-01 4.384920982154064e-02
9.126458169276123e-02 6.727342996472472e-01 4.347071530233614e-02
9.267099010724067e-02 6.258157880963736e-01 4.146413080147594e-02
9.408600536169424e-02 5.998688174371506e-01 4.015657585637089e-02
9.550400676652890e-02 5.050623695077129e-01 3.665038857547460e-02
9.692680338668869e-02 4.336740800061301e-01 3.360594565473939e-02
9.835026414645821e-02 3.900068707472165e-01 3.170445311445445e-02
9.976385456656552e-02 4.178211690258162e-01 3.264766958218442e-02
1.011702407978104e-01 5.142737557571567e-01 3.603707952091651e-02
1.025874149998341e-01 5.990462893818311e-01 3.850698436653451e-02
1.040016431524668e-01 6.409648812563724e-01 3.963574593748073e-02
1.054022236185654e-01 6.123523381936278e-01 3.874098055036797e-02
1.068004856857582e-01 4.701777679785716e-01 3.345849482776319e-02
1.082155194332664e-01 3.126763232075472e-01 2.715592308334162e-02
1.096303689908783e-01 2.162473664768518e-01 2.237348000614355e-02
1.110437690146368e-01 2.008912772155964e-01 2.146531644601390e-02
1.124577603840121e-01 2.087030116963964e-01 2.168067868275891e-02
1.138806549956761e-01 2.537995424911503e-01 2.369606322980762e-02
1.153015621310480e-01 3.946110227524780e-01 2.954713583713401e-02
1.167163997151972e-01 5.608421698515564e-01 3.491736113129038e-02
1.181234888172112e-01 6.540769059052167e-01 3.770817308204222e-02
1.195242739014901e-01 6.231960524170936e-01 3.649130713769681e-02
1.209404799932157e-01 5.088137909277306e-01 3.269459489827729e-02
1.223455275950314e-01 3.652730056555086e-01 2.781876141308741e-02
1.237506123244504e-01 2.803269803923424e-01 2.512701878368634e-02
1.251735880648196e-01 8.674690320686272e-02 1.458132225967007e-02
1.265826882476822e-01 5.630912378222222e-02 1.250656758380952e-02
1.279878174136766e-01 1.021139245246988e-01 1.753773251653081e-02
1.294023182203224e-01 1.510927865232395e-01 2.274733060684532e-02
1.308161705069421e-01 2.196515001511772e-01 2.906567498132311e-02
