<X> <Y> <dY>
7.088789786331283e-04 8.515168751026029e+04 7.071067811865476e-01
2.380063566605896e-03 3.799676605784821e+04 4.082482904638631e-01
3.791494769691666e-03 9.613961075016530e+03 4.082482904638631e-01
5.128922356329964e-03 4.045000244402604e+03 3.162277660168379e-01
6.528967044897790e-03 2.647424922318040e+03 2.886751345948129e-01
7.962471933018338e-03 2.258535882306243e+03 2.357022603955159e-01
9.417707171299177e-03 2.817857516120561e+03 2.357022603955159e-01
1.082461512595292e-02 2.163757461658247e+03 2.236067977499790e-01
1.220267221007126e-02 1.078295527329812e+03 2.041241452319315e-01
1.358858141222870e-02 5.583574612460751e+02 1.961161351381840e-01
1.496576638073918e-02 4.209880612026706e+02 1.825741858350554e-01
1.640921109052075e-02 4.386641526250067e+02 1.767766952966369e-01
1.780725206947077e-02 4.707016143663309e+02 1.714985851425088e-01
1.920139456196423e-02 3.832457667002275e+02 1.622214211307625e-01
2.063599229341912e-02 2.552344375730758e+02 1.543033499620919e-01
2.204652286068581e-02 1.476713555376766e+02 1.543033499620919e-01
2.341925084253590e-02 8.610826195026065e+01 1.507556722888818e-01
2.482922165809370e-02 5.791465147855294e+01 1.414213562373095e-01
2.625487987969282e-02 4.199312983198785e+01 1.386750490563073e-01
2.765323152925012e-02 2.774392540607932e+01 1.360827634879543e-01
2.906679120813465e-02 1.541716155973742e+01 1.336306209562122e-01
3.044710163977530e-02 9.436665071876265e+00 1.313064328597226e-01
3.182925234220130e-02 7.317729513279602e+00 1.270001270001905e-01
3.323163841678860e-02 5.891463916237869e+00 1.230914909793327e-01
3.466033943034513e-02 4.765709969175377e+00 1.212678125181665e-01
3.608934765162474e-02 5.554855508220204e+00 1.178511301977579e-01
3.751308365100714e-02 3.890655546579076e+00 1.162476387438193e-01
3.893887725465989e-02 1.682820557494227e+00 1.132277034144596e-01
4.034944157352989e-02 1.366568620054619e+00 1.132277034144596e-01
4.175859703303234e-02 1.637200642901689e+00 1.104315260748465e-01
4.318611187882493e-02 2.170710525156426e+00 1.078327732034384e-01
4.460557817645350e-02 2.123696622783672e+00 1.066003581778052e-01
4.600893648119810e-02 2.399712956934037e+00 1.054092553389460e-01
4.742133686255142e-02 3.485257025079457e+00 1.042572070285374e-01
4.882858981803483e-02 4.503368813365058e+00 1.020620726159658e-01
5.023438089002717e-02 4.968483369517413e+00 1.010152544552211e-01
5.165212577706245e-02 4.743066337789319e+00 9.805806756909202e-02
5.308613785791945e-02 3.766263197285824e+00 9.805806756909202e-02
5.449336698041662e-02 2.963558366969573e+00 9.712858623572643e-02
5.589921152419412e-02 2.905485643608314e+00 9.534625892455924e-02
5.731913538269697e-02 3.018574900025102e+00 9.365858115816940e-02
5.872970394287587e-02 2.981532987475952e+00 9.365858115816940e-02
6.013846254220074e-02 2.573395789063575e+00 9.205746178983233e-02
6.156018817295227e-02 2.104817423430644e+00 9.053574604251853e-02
6.297677635622026e-02 1.758822065989629e+00 8.980265101338746e-02
6.438195071364802e-02 1.662808019243421e+00 8.908708063747479e-02
6.580472241062416e-02 1.698663702318741e+00 8.770580193070293e-02
6.722252316074896e-02 1.776774892830263e+00 8.703882797784893e-02
6.863950441564909e-02 1.863111264051778e+00 8.574929257125442e-02
7.005342879968592e-02 1.970982542969615e+00 8.512565307587487e-02
7.147125803503675e-02 1.940101564864767e+00 8.451542547285167e-02
7.287892665822651e-02 1.630396869586138e+00 8.391813582966892e-02
7.428512578149309e-02 1.098704882357887e+00 8.276058886023681e-02
7.570200605228794e-02 6.069332395028334e-01 8.164965809277261e-02
7.711258039470907e-02 3.032998674699862e-01 8.164965809277261e-02
7.852106269828134e-02 2.171465749985494e-01 8.058229640253803e-02
7.993957100118616e-02 3.169521338440315e-01 7.955572841757301e-02
8.136317828803380e-02 5.127342005145296e-01 7.856742013183862e-02
8.277793546167261e-02 6.143054401272492e-01 7.856742013183862e-02
8.418884259413877e-02 5.789519365635787e-01 7.808688094430304e-02
8.560445010849739e-02 5.514987740931614e-01 7.669649888473705e-02
8.702789928790761e-02 5.372781498721516e-01 7.624928516630235e-02
8.844066318391593e-02 6.765694849820857e-01 7.580980435789034e-02
8.985665506386348e-02 8.474795570218580e-01 7.537783614444092e-02
9.126458219559437e-02 8.515102830724843e-01 7.495316889958614e-02
9.267099327320792e-02 7.344655477102847e-01 7.412493166611012e-02
9.408600896475444e-02 6.243394965502211e-01 7.332355751067665e-02
9.550400896062225e-02 4.825584130076987e-01 7.293249574894728e-02
9.692680469286558e-02 4.149220994119918e-01 7.216878364870323e-02
9.835026600321069e-02 3.952961377102477e-01 7.179581586177382e-02
9.976385632812827e-02 4.408954722445754e-01 7.142857142857144e-02
1.011702435841926e-01 5.342721930183244e-01 7.106690545187015e-02
1.025874194941607e-01 6.062533568372406e-01 7.035975447302920e-02
1.040016445875811e-01 6.241891981985392e-01 7.001400420140050e-02
1.054022230228816e-01 5.706144199695059e-01 7.001400420140050e-02
1.068004849861523e-01 4.327386405854294e-01 6.900655593423542e-02
1.082155197824179e-01 3.019837133899156e-01 6.868028197434452e-02
1.096303689902771e-01 2.180110702351661e-01 6.804138174397717e-02
1.110437711930305e-01 1.887090123952665e-01 6.772854614785964e-02
1.124577642520551e-01 2.230650865098285e-01 6.711560552140244e-02
1.138806592794483e-01 3.283568240459354e-01 6.651901052377394e-02
1.153015639173885e-01 4.745147704785770e-01 6.651901052377394e-02
1.167164005045841e-01 5.870033731526444e-01 6.593804733957870e-02
1.181234880961771e-01 6.298606543167713e-01 6.593804733957870e-02
1.195242751465163e-01 5.892676869050729e-01 6.537204504606135e-02
1.209404829526563e-01 5.050860065837808e-01 6.482037235521644e-02
1.223455313224177e-01 4.226290970252288e-01 6.509445549041194e-02
1.237506178469832e-01 3.057750737532677e-01 6.711560552140244e-02
1.251735925841308e-01 7.513559205050573e-02 7.001400420140050e-02
1.265826927189086e-01 5.379152919543007e-02 7.453559924999299e-02
1.279878222174804e-01 9.654601566007773e-02 7.761505257063329e-02
1.294023233048511e-01 1.523017643221400e-01 8.276058886023681e-02
1.308161742859047e-01 2.205446703229881e-01 8.770580193070293e-02
1.322234397157499e-01 3.089378645735542e-01 9.534625892455924e-02
1.336202524343546e-01 5.217277735024944e-01 1.031421246258794e-01
1.350282007847997e-01 7.130492036424181e-01 1.132277034144596e-01
1.364263498989799e-01 3.659295313852093e-01 1.290994448735806e-01
1.378358572634880e-01 2.962495715311861e-02 1.474419561548972e-01
1.392530909915375e-01 9.202022175378823e-03 1.889822365046136e-01
1.405966448252255e-01 1.343323924443026e-02 2.886751345948129e-01
